Post ID,Comment,Post themes,Background sound / audio,Harm score,Explanation
DF1MjbExD3I,bro kissed the controller 😭😭,"Boy, teenager, gaming, laptop","Yes, special effect",0,"The comment simply describes the subject in the video, using neutral terms like 'boy, teenager, gaming, laptop'."
DF1MjbExD3I,FINALLY 😭😭😭🙏🏻,"Boy, teenager, gaming, laptop","Yes, special effect",0,"The comment 'FINALLY 😭😭😭🙏🏻' expresses excitement or relief in a harmless, emotional way."
DF1MjbExD3I,FRL?! 🙏🙏🙏🙏🙏,"Boy, teenager, gaming, laptop","Yes, special effect",0,"The comment 'FRL?! 🙏🙏🙏🙏🙏' shows surprise and support, without any negative or harmful content."
DF1MjbExD3I,Yall really overreacted maintenance usually lasts a day,"Boy, teenager, gaming, laptop","Yes, special effect",0.25,"The comment is slightly dismissive of others’ reactions to the situation, which can be interpreted as invalidating feelings."
DF1MjbExD3I,🥹🥹🥹,"Boy, teenager, gaming, laptop","Yes, special effect",0,"The use of '🥹🥹🥹' is an emotional and empathetic reaction to the post, not harmful in any way."
DF1MjbExD3I,omg peace HAS BEEN RESTORED,"Boy, teenager, gaming, laptop","Yes, special effect",0,"'Omg peace HAS BEEN RESTORED' is a humorous and supportive comment, not harmful."
DF1MjbExD3I,oh my god they’re actually back YESSSS BAAHHAHA YESSS,"Boy, teenager, gaming, laptop","Yes, special effect",0,The comment expresses excitement and support using a lighthearted tone. Not harmful.
CtHU3bTO6RO,I was there!!,"Girls, teenager, dance, choreography","Yes, hiphop song",0,A personal anecdote — 'I was there!!' — adds to the post and is completely harmless.
CtHU3bTO6RO,WOAHH YOUR GORG,"Girls, teenager, dance, choreography","Yes, hiphop song",0,'WOAHH YOUR GORG' is an enthusiastic compliment directed at the creator. Positive in tone.
CtHU3bTO6RO,🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄,"Girls, teenager, dance, choreography","Yes, hiphop song",0.5,"The excessive use of eye-roll emojis implies negativity and possible contempt, which may be discouraging or mocking toward the creator."
DFLpKTPv1L-,Netflix needs to upgrade with you and your makeup knowledge. I know u would watch it everyday on repeat. 🥺,"Men, couple, personal experience","Yes, normal voice",0,Supportive message encouraging Netflix to feature the creator — very positive.
DFLpKTPv1L-,@netflix@primevideoyou need to look at this drama couple!! The are addicting,"Men, couple, personal experience","Yes, normal voice",0,Excited and promotional tone tagging platforms — no harmful language.
DFLpKTPv1L-,I’d subscribe and watch hunnnnnies!,"Men, couple, personal experience","Yes, normal voice",0,"Fun, affectionate comment showing admiration. No negativity."
DFLpKTPv1L-,omg cuties!!! 😍,"Men, couple, personal experience","Yes, normal voice",0,Informal praise using slang and emojis — sweet and kind.
DFLpKTPv1L-,🤣🤣🤣,"Men, couple, personal experience","Yes, normal voice",0,Laughing emojis that reflect joy in context — not mocking or offensive.
