Comment ID,Post ID,Comment,Post themes,Background sound / audio,Harm score
1a4562497fb6de56d5f9f603915d3820,DF1MjbExD3I,bro kissed the controller 😭😭,"Boy, teenager, gaming, laptop","Yes, special effect",0
78dc57698e5d027b9b764609bb1bbb30,DF1MjbExD3I,FINALLY 😭😭😭🙏🏻,"Boy, teenager, gaming, laptop","Yes, special effect",0
2716847efee5d00f5a28f7d0c044195f,DF1MjbExD3I,FRL?! 🙏🙏🙏🙏🙏,"Boy, teenager, gaming, laptop","Yes, special effect",0
46a3b2defd4827ff9ee546a254446319,DF1MjbExD3I,Yall really overreacted maintenance usually lasts a day,"Boy, teenager, gaming, laptop","Yes, special effect",0
afdb3702138a7ef739bc07277951cab3,DF1MjbExD3I,🥹🥹🥹,"Boy, teenager, gaming, laptop","Yes, special effect",0
41d03f5bca83884667177a10df44c8d5,DF1MjbExD3I,omg peace HAS BEEN RESTORED,"Boy, teenager, gaming, laptop","Yes, special effect",0
6584b7f772fc457812a0300cf02bd3d7,DF1MjbExD3I,oh my god they’re actually back YESSSS BAAHHAHA YESSS,"Boy, teenager, gaming, laptop","Yes, special effect",0
67879d8b0c58fdfc4b941712c18405f1,CtHU3bTO6RO,I was there!!,"Girls, teenager, dance, choreography","Yes, hiphop song",0
3c266cd5d96d5f3bd888b0c2394865dd,CtHU3bTO6RO,WOAHH YOUR GORG,"Girls, teenager, dance, choreography","Yes, hiphop song",0
e38c9507af6b86c438cf2187ef45531c,CtHU3bTO6RO,🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄,"Girls, teenager, dance, choreography","Yes, hiphop song",0.5
b766f275de4807c52b7245f59c38d113,CtHU3bTO6RO,🔥🔥🔥🔥🔥🔥🔥👏👏😍😍,"Girls, teenager, dance, choreography","Yes, hiphop song",0
d6d139cc464705b5e1b656f428d3bb23,CtHU3bTO6RO,Lots of energy Love it!,"Girls, teenager, dance, choreography","Yes, hiphop song",0
6d2910e34119b2f63f84deab1552eef8,CtHU3bTO6RO,She’s so good!!!,"Girls, teenager, dance, choreography","Yes, hiphop song",0
54b9bc1b43c0dd6173b08cca5e5903e2,CtHU3bTO6RO,🔥yes!,"Girls, teenager, dance, choreography","Yes, hiphop song",0
17fbe5f2edc6473d10a47cd051a5ca79,CtHU3bTO6RO,Reply,"Girls, teenager, dance, choreography","Yes, hiphop song",0
a45c8fd9010beb4548447d5094aa03ae,CtHU3bTO6RO,Honestly she is so good!!!,"Girls, teenager, dance, choreography","Yes, hiphop song",0
ec3ad56e813b172186b6261de5e98182,CtHU3bTO6RO,Your a really good dancer!,"Girls, teenager, dance, choreography","Yes, hiphop song",0
195bebfde866d90cc34dde71c314929a,CtHU3bTO6RO,Please audition for@xomgpop!!,"Girls, teenager, dance, choreography","Yes, hiphop song",0
