Comment ID,Comment,Harm score,Post themes,Background music / audio 
7230833132126700544,but HOW do you regulate your nervous system???,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7224267659632966656,"My eyes are opened, I always thought that stress kept my weight low but when I think about life before stress my weight was stable and healthy",0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220614818452389888,I know I’m always in the middle zone in panic and anxiety. I would love to know more about how to heal my nervous system!,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220234270626595840,"Okay but HOW do I get in that green zone? How can I learn to regulate that nervous systeem? I’ve been in blue for 5 years now, sadly.",0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7219913896215150592,Omg HOW! Need a part two ASAP,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7219911598021950464,can you explain why eating food in a stressed state = ingesting more stress?,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220169605079564288,So it all started around 11 years old for all of us huh,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7471871535268985856,"THANK YOU!!!
At last the answer!!! 40 years of struggle & last 10 years in dorsal state",0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7219955540277299200,I’m convinced that TikTok reads my thoughts and always leads me to things I’ve thought about. I’ve never cared more about my weight till recently,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220030413019530240,Wow ! I think a good example of this is when I’m on vacation I don’t seem to gain weight after eating and drinking more than usual.,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7219889896269545472,I'm in flight or fight 10000%,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220245132720620544,can I get the cliff notes version,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7221689255771915264,"I’m so glad I found your page. Thank you so much, you’re a life saver",0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220574518287596544,Pretty ring!,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220011367146112000,"And when you’re in that freeze state you can literally see people at higher vibration and it’s so alienating like, ‘how???’",0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220106846937072640,I had no idea this was a “thing” I grew up stressed out and when I got married I let go of soooo much bs and now live in a beautiful PEACEFUL,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7240925940945027072,This. Thank you for sharing. So powerful. 🫶🫶🫶,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220264431796633600,This makes so much sense. When I’m surrounded by loved ones I do not binge or even think about it.,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7251594795842502656,I was in the middle zone my whole teens-20s and it eventually led me to the top zone through my 30s uuuuggghhhhhh,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7219526416333195264,Best content I have ever seen on this app,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220082407175767040,Such a bright young woman. Finally something women need to hear. You are a blessing.,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220089050770016256,This is literally the best video I have seen about this topic. Very very well explained. Thank you!,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7255383621866291200,"Thank you so much for this, you’re giving me hope🙏♥️🥹",0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220021760581139456,How do I chill out,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7219795727671654400,"Thank you for opening my eyes. This is an intellectual, respectful way of saying what I have been experiencing. 🤍",0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7240880757190707200,What did you study to learn this? 😍 I Want to learn more,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7239939326491904000,How do we fix it?!! 😳,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220409125690263552,I am so glad I watched all 6 mins of this. This was so helpful. Legit in tears because this is so real. And needed,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7222113927315521536,wow FYP is fypeeing,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7240301286024101888,Tell us how please,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7240085311915870208,Love this!! I have had issues since I was young and now in menopause even worse!!,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7249131532013945856,I am constantly between red and blue zone. Wish to escape it and be in the green one,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220447038475142144,Amazing! I could really relate to this! thank you!,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7251266310280345600,How do we get out of this zone ? 😥,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7241408198836582400,i just had the realization that maybe i’ve been chronically stressed and that’s my problem and this just confirmed lol,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220447325725803520,I’m in the freeze system and life is passing me by. 🥺,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7219929001501212672,"finally direct information that holds attention, without unnecessary presentation! thank you ♥️",0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220325345496449024,As a PCOS girlie I’m pretty much always in fight/flight because of cortisol 🥲,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7240521877243136000,Thank you!,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220234928878470144,i needed this today more than you could possibly know. like the timing of this was fate,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220287664267116544,Nothing I have ever watched has EVER resonated with me more !!! 💗,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7247175910225868800,Part 2!,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7239991450083358720,This makes so much sense. Thanks for sharing!,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7250703874749758464,Whew,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220873345511524352,"It’s so sad how young we all started, and even more sad how common/normalized this is 🥺",0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220352515279729664,Fight or flight! 🥺,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7252711128391370752,need a part 2!,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7250839405950321664,This is so true. This is exactly how it went for me last year. I let go and let God and stopped worrying and just DID IT I’m down 105 plus pounds,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220566939810432000,Would love more info on how to change this!,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7222744713223454720,You are changing lives 🥰,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220533222152305664,"hear me out,what if our life goal it's not loose weight,but to be at peace with our mind/ bodies,but the diet industry has convince us otherwise",0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220407240699136000,this is superrrrr fascinating,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7221245742567524352,You are what you say you are…. One of my favourite sayings.,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220232849893569536,side note: your ring 😍,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
7220003071276942336,I'm so glad I took the time to listen to this 🥰,0,"Girl, fitness, health, personal opinion, educational","Yes, normal voice"
